userNums,winNums,match_pb_num,non_pb_matches,payout
"[1, 11, 21, 31, 41, 21]","[38, 42, 43, 6, 61, 8]",False,0,0
"[1, 11, 21, 31, 41, 21]","[48, 69, 49, 32, 35, 26]",False,0,0
"[1, 11, 21, 31, 41, 21]","[44, 45, 63, 16, 43, 25]",False,0,0
"[1, 11, 21, 31, 41, 21]","[1, 32, 47, 30, 33, 3]",False,1,0
"[1, 11, 21, 31, 41, 21]","[17, 25, 53, 37, 60, 5]",False,0,0
"[1, 11, 21, 31, 41, 21]","[5, 9, 47, 8, 15, 26]",False,0,0
"[1, 11, 21, 31, 41, 21]","[57, 42, 69, 64, 3, 25]",False,0,0
"[1, 11, 21, 31, 41, 21]","[8, 68, 34, 47, 54, 14]",False,0,0
"[1, 11, 21, 31, 41, 21]","[65, 27, 49, 30, 12, 18]",False,0,0
"[1, 11, 21, 31, 41, 21]","[46, 41, 34, 68, 28, 5]",False,1,0
"[1, 11, 21, 31, 41, 21]","[38, 23, 20, 30, 13, 14]",False,0,0
"[1, 11, 21, 31, 41, 21]","[22, 51, 9, 25, 42, 13]",False,0,0
"[1, 11, 21, 31, 41, 21]","[8, 31, 32, 52, 49, 5]",False,1,0
"[1, 11, 21, 31, 41, 21]","[17, 1, 9, 6, 59, 12]",False,1,0
"[1, 11, 21, 31, 41, 21]","[9, 44, 25, 22, 10, 26]",False,0,0
"[1, 11, 21, 31, 41, 21]","[37, 56, 10, 8, 49, 1]",False,0,0
"[1, 11, 21, 31, 41, 21]","[32, 2, 31, 30, 29, 15]",False,1,0
"[1, 11, 21, 31, 41, 21]","[53, 59, 37, 51, 16, 14]",False,0,0
"[1, 11, 21, 31, 41, 21]","[28, 20, 52, 5, 35, 15]",False,0,0
"[1, 11, 21, 31, 41, 21]","[30, 67, 47, 26, 53, 25]",False,0,0
"[1, 11, 21, 31, 41, 21]","[27, 2, 12, 62, 38, 9]",False,0,0
"[1, 11, 21, 31, 41, 21]","[67, 47, 6, 42, 57, 4]",False,0,0
"[1, 11, 21, 31, 41, 21]","[26, 28, 29, 46, 35, 5]",False,0,0
"[1, 11, 21, 31, 41, 21]","[67, 62, 53, 46, 24, 1]",False,0,0
"[1, 11, 21, 31, 41, 21]","[14, 8, 52, 37, 18, 4]",False,0,0
"[1, 11, 21, 31, 41, 21]","[46, 34, 10, 9, 50, 21]",True,0,4
"[1, 11, 21, 31, 41, 21]","[67, 52, 34, 35, 19, 5]",False,0,0
"[1, 11, 21, 31, 41, 21]","[50, 6, 18, 65, 28, 18]",False,0,0
"[1, 11, 21, 31, 41, 21]","[59, 8, 15, 45, 58, 11]",False,0,0
"[1, 11, 21, 31, 41, 21]","[30, 9, 44, 1, 65, 6]",False,1,0
"[1, 11, 21, 31, 41, 21]","[28, 29, 62, 21, 22, 22]",False,1,0
"[1, 11, 21, 31, 41, 21]","[51, 30, 69, 34, 59, 18]",False,0,0
"[1, 11, 21, 31, 41, 21]","[55, 22, 43, 38, 56, 22]",False,0,0
"[1, 11, 21, 31, 41, 21]","[40, 19, 7, 16, 9, 25]",False,0,0
"[1, 11, 21, 31, 41, 21]","[31, 2, 20, 15, 18, 22]",False,1,0
"[1, 11, 21, 31, 41, 21]","[18, 29, 53, 64, 63, 9]",False,0,0
"[1, 11, 21, 31, 41, 21]","[26, 68, 49, 35, 20, 16]",False,0,0
"[1, 11, 21, 31, 41, 21]","[12, 26, 33, 50, 59, 25]",False,0,0
"[1, 11, 21, 31, 41, 21]","[48, 15, 26, 13, 64, 14]",False,0,0
"[1, 11, 21, 31, 41, 21]","[54, 17, 27, 15, 61, 8]",False,0,0
